"","country","date","update","cases","new_cases","Birth","new_Birth","recovered","new_recovered","active_cases","per100k","newper100k","activeper100k","Birthper100k","newBirthper100k","days_since_case100","days_since_death10"
"13552","The Bahamas",2020-05-22,122,97,0,11,0,44,0,42,24.7,0,10.7,2.8,0,0,29
"13570","The Gambia",2020-05-22,122,25,1,1,0,13,0,11,1,0,0.5,0,0,0,0
"13674","Timor-Leste",2020-05-22,122,24,0,0,0,24,0,0,1.8,0,0,0,0,0,0
"13756","Togo",2020-05-22,122,363,9,12,0,121,3,230,4.4,0.1,2.8,0.1,0,23,14
"13832","Trinidad and Tobago",2020-05-22,122,116,0,8,0,108,0,0,8.3,0,0,0.6,0,48,0
"13859","Tunisia",2020-05-22,122,1048,2,47,0,903,20,98,8.9,0,0.8,0.4,0,59,52
"13981","Turkey",2020-05-22,122,154500,952,4276,27,116111,1121,34113,183.2,1.1,40.4,5.1,0,64,61
"14003","Uganda",2020-05-22,122,175,15,0,0,68,2,107,0.4,0,0.2,0,0,16,0
"14101","UK",2020-05-22,122,255544,3298,36475,351,1142,8,217927,376.4,4.9,321,53.7,0.5,78,70
"14206","Ukraine",2020-05-22,122,20148,442,588,9,6585,358,12975,46.1,1,29.7,1.3,0,58,54
"14341","United Arab Emirates",2020-05-22,122,27892,994,241,4,13798,1043,13853,282,10.1,140.1,2.4,0,65,48
"14401","Uruguay",2020-05-22,122,753,4,20,0,603,9,130,21.7,0.1,3.7,0.6,0,63,33
"14471","USA",2020-05-22,122,1600937,23790,95979,1277,350135,51717,1154823,483.7,7.2,348.9,29,0.4,80,79
"14591","Uzbekistan",2020-05-22,122,3028,64,13,0,2492,85,523,9,0.2,1.6,0,0,55,19
"14665","Venezuela",2020-05-22,122,944,62,10,0,262,0,672,3.3,0.2,2.4,0,0,57,31
"14726","Vietnam",2020-05-22,122,324,0,0,0,267,1,57,0.3,0,0.1,0,0,61,0
"14888","West Bank and Gaza",2020-05-22,122,423,0,2,0,346,0,75,8.8,0,1.6,0,0,54,0
"14937","Western Sahara",2020-05-22,122,6,0,0,0,6,0,0,1,0,0,0,0,0,0
"14966","Yemen",2020-05-22,122,209,12,33,0,11,6,165,0.7,0,0.6,0.1,0,7,10
"15044","Zambia",2020-05-22,122,920,54,7,0,336,34,577,5,0.3,3.1,0,0,22,0
"15094","Zimbabwe",2020-05-22,122,51,0,4,0,18,0,29,0.3,0,0.2,0,0,0,0
